BCODE,BNAME,DCODE,District_Name,Region,County_ID,County_Name,Public/nonpublic,g7_totl,g8_totl,g9_totl,g10_totl,g11_totl,g12_totl,tot_all
06054,Westwood High School,52015,N.I.C.E. Community Schools,3.00,52,Marquette,Public,0.00,0.00,95.00,87.00,92.00,75.00,349.00
06166,Big Bay De Noc School,21065,Big Bay De Noc School District,3.00,21,Delta,Public,22.00,22.00,21.00,32.00,23.00,30.00,150.00
06268,Bothwell Middle School,52170,Marquette Area Public Schools,3.00,52,Marquette,Public,230.00,234.00,0.00,0.00,0.00,0.00,464.00
07755,Marquette Alternative Education,52170,Marquette Area Public Schools,3.00,52,Marquette,Public,0.00,0.00,1.00,5.00,15.00,43.00,64.00
08476,North Star Academy,52901,North Star Academy,3.00,52,Marquette,Public,3.00,10.00,16.00,26.00,25.00,13.00,93.00
08500,Aspen Ridge Middle School,52015,N.I.C.E. Community Schools,3.00,52,Marquette,Public,88.00,89.00,0.00,0.00,0.00,0.00,177.00
08859,Marquette-Alger Administrative Unit,52000,Marquette-Alger RESA,3.00,52,Marquette,Public,3.00,2.00,7.00,9.00,0.00,0.00,21.00
08864,Ishpeming-Neguanee-NICE Comm. Ed. Division,52015,N.I.C.E. Community Schools,3.00,52,Marquette,Public,0.00,0.00,1.00,11.00,10.00,37.00,59.00
00404,Brimley Jr./Sr. High,17140,Brimley Area Schools,4.00,17,Chippewa,Public,42.00,47.00,43.00,39.00,39.00,35.00,245.00
00905,DeTour High School,17050,DeTour Area Schools,4.00,17,Chippewa,Public,15.00,13.00,23.00,14.00,17.00,15.00,97.00
01149,Engadine High School,49055,Engadine Consolidated Schools,4.00,49,Mackinac,Public,27.00,25.00,25.00,21.00,20.00,18.00,136.00
01509,Gros Cap School,49070,Moran Township School District,4.00,49,Mackinac,Public,6.00,11.00,0.00,0.00,0.00,0.00,17.00
01531,HACKETT CATHOLIC CENTRAL,39010,,4.00,17,Chippewa,nonpublic,0.00,0.00,94.00,79.00,98.00,95.00,366.00
02135,LaSalle High School,49010,St. Ignace Area Schools,4.00,49,Mackinac,Public,0.00,0.00,56.00,65.00,54.00,62.00,237.00
02163,Cedarville High School,49040,Les Cheneaux Community Schools,4.00,49,Mackinac,Public,0.00,0.00,19.00,37.00,14.00,36.00,106.00
02264,Sault Area Middle School,17010,Sault Ste. Marie Area Schools,4.00,17,Chippewa,Public,177.00,231.00,0.00,0.00,0.00,0.00,408.00
02305,Mackinac Island School,49110,Mackinac Island Public Schools,4.00,49,Mackinac,Public,7.00,7.00,6.00,5.00,5.00,11.00,41.00
02340,Manistique Middle and High School,77010,Manistique Area Schools,4.00,77,Schoolcraft,Public,79.00,81.00,85.00,103.00,77.00,74.00,499.00
02692,Newberry High School,48040,Tahquamenon Area Schools,4.00,48,Luce,Public,0.00,0.00,87.00,82.00,72.00,82.00,323.00
03024,Pickford High School,17090,Pickford Public Schools,4.00,17,Chippewa,Public,0.00,0.00,55.00,38.00,28.00,31.00,152.00
03025,Pickford Elementary School,17090,Pickford Public Schools,4.00,17,Chippewa,Public,42.00,35.00,0.00,0.00,0.00,0.00,77.00
03353,ST ISAAC JOGUES SCHOOL,50130,,4.00,77,Schoolcraft,nonpublic,44.00,54.00,0.00,0.00,0.00,0.00,98.00
03998,ST ROBERT SCHOOL,25120,,4.00,17,Chippewa,nonpublic,23.00,24.00,0.00,0.00,0.00,0.00,47.00
04034,ST THOMAS SCHOOL,81010,,4.00,17,Chippewa,nonpublic,22.00,24.00,0.00,0.00,0.00,0.00,46.00
04506,Whitefish Township School,17160,Whitefish Township Schools,4.00,17,Chippewa,Public,2.00,2.00,3.00,6.00,2.00,4.00,19.00
05049,Newberry Middle School,48040,Tahquamenon Area Schools,4.00,48,Luce,Public,79.00,54.00,0.00,0.00,0.00,0.00,133.00
05631,Rudyard High School,17110,Rudyard Area Schools,4.00,17,Chippewa,Public,0.00,0.00,89.00,66.00,61.00,62.00,278.00
06068,Sault Area High School,17010,Sault Ste. Marie Area Schools,4.00,17,Chippewa,Public,0.00,0.00,240.00,200.00,238.00,215.00,893.00
06812,Malcolm High School,17010,Sault Ste. Marie Area Schools,4.00,17,Chippewa,Public,0.00,0.00,0.00,9.00,17.00,38.00,64.00
07124,LAKE MICHIGAN ACADEMY,41010,,4.00,77,Schoolcraft,nonpublic,4.00,2.00,5.00,2.00,6.00,1.00,20.00
07556,St. Ignace Middle School,49010,St. Ignace Area Schools,4.00,49,Mackinac,Public,44.00,68.00,0.00,0.00,0.00,0.00,112.00
07718,St. Ignace Juvenile Detention Facility,49010,St. Ignace Area Schools,4.00,49,Mackinac,Public,1.00,1.00,1.00,3.00,6.00,0.00,12.00
07814,Rudyard Middle School,17110,Rudyard Area Schools,4.00,17,Chippewa,Public,65.00,66.00,0.00,0.00,0.00,0.00,131.00
08063,Joseph K. Lumsden Bahweting Anishnabe Academy,17901,Joseph K. Lumsden Bahweting Anishnabe Academy,4.00,17,Chippewa,Public,31.00,18.00,0.00,0.00,0.00,0.00,49.00
08446,Cedarville Middle School,49040,Les Cheneaux Community Schools,4.00,49,Mackinac,Public,23.00,34.00,0.00,0.00,0.00,0.00,57.00
08521,Manistique Alternative Ed Center,77010,Manistique Area Schools,4.00,77,Schoolcraft,Public,0.00,0.00,11.00,9.00,7.00,6.00,33.00
09119,Brimley Elementary School,17140,Brimley Area Schools,4.00,17,Chippewa,Public,0.00,0.00,1.00,0.00,0.00,0.00,1.00
09308,Ojibwe Charter School,17902,Ojibwe Charter School,4.00,17,Chippewa,Public,6.00,12.00,10.00,5.00,7.00,3.00,43.00
09417,Consolidated Community School Services,17090,Pickford Public Schools,4.00,17,Chippewa,Public,0.00,1.00,2.00,16.00,14.00,82.00,115.00
00044,Alcona Community High School,01010,Alcona Community Schools,5.00,01,Alcona,Public,0.00,0.00,87.00,77.00,97.00,76.00,337.00
00075,Alpena High School,04010,Alpena Public Schools,5.00,04,Alpena,Public,0.00,0.00,474.00,378.00,319.00,329.00,1500.00
00147,Au Gres-Sims Middle and High School,06020,Au Gres-Sims School District,5.00,06,Arenac,Public,33.00,23.00,29.00,28.00,34.00,35.00,182.00
00423,CALVARY BAPTIST CHURCH SCH,50050,,5.00,35,Iosco,nonpublic,1.00,1.00,2.00,2.00,1.00,1.00,8.00
00655,Cheboygan Area High School,16015,Cheboygan Area Schools,5.00,16,Cheboygan,Public,0.00,0.00,176.00,214.00,172.00,175.00,737.00
00909,WALDORF SCH ASSOC OF MICH,82010,,5.00,65,Ogemaw,nonpublic,10.00,11.00,0.00,0.00,0.00,0.00,21.00
01194,Fairview High School,68030,Fairview Area School District,5.00,68,Oscoda,Public,31.00,20.00,37.00,38.00,23.00,23.00,172.00
01374,Gaylord Middle School,69020,Gaylord Community Schools,5.00,69,Otsego,Public,242.00,244.00,0.00,0.00,0.00,0.00,486.00
01375,Gaylord High School/Voc. Bldg.,69020,Gaylord Community Schools,5.00,69,Otsego,Public,0.00,0.00,262.00,290.00,280.00,258.00,"1,090.00"
01411,Gladwin Junior High School,26040,Gladwin Community Schools,5.00,26,Gladwin,Public,133.00,151.00,0.00,0.00,0.00,0.00,284.00
01482,Grayling High School,20015,Crawford AuSable Schools,5.00,20,Crawford,Public,0.00,0.00,154.00,152.00,142.00,132.00,580.00
01517,GUARDIAN LUTHERAN SCHOOL,82030,,5.00,04,Alpena,nonpublic,14.00,20.00,0.00,0.00,0.00,0.00,34.00
01535,Hale High School,35020,Hale Area Schools,5.00,35,Iosco,Public,0.00,0.00,49.00,50.00,58.00,57.00,214.00
01684,Hillman Community Jr/Sr High School,60020,Hillman Community Schools,5.00,60,Montmorency,Public,40.00,41.00,48.00,52.00,37.00,32.00,250.00
01769,Houghton Lake High School,72020,Houghton Lake Community Schools,5.00,72,Roscommon,Public,0.00,147.00,168.00,125.00,123.00,133.00,696.00
01842,Inland Lakes High School,16050,Inland Lakes Schools,5.00,16,Cheboygan,Public,0.00,0.00,67.00,75.00,74.00,82.00,298.00
01843,INTERLOCHEN ARTS ACADEMY,28010,,5.00,35,Iosco,nonpublic,0.00,0.00,32.00,76.00,150.00,206.00,464.00
01935,Johannesburg-Lewiston High School,69030,Johannesburg-Lewiston Area Schools,5.00,69,Otsego,Public,0.00,0.00,66.00,57.00,50.00,44.00,217.00
02174,Lewiston Elementary-Middle School,69030,Johannesburg-Lewiston Area Schools,5.00,60,Montmorency,Public,38.00,40.00,0.00,0.00,0.00,0.00,78.00
02306,Mackinaw City K-12 School,16070,Mackinaw City Public Schools,5.00,16,Cheboygan,Public,14.00,16.00,16.00,11.00,19.00,14.00,90.00
02581,Mio-AuSable High School,68010,Mio-AuSable Schools,5.00,68,Oscoda,Public,59.00,53.00,60.00,57.00,37.00,51.00,317.00
02830,Onaway Senior High School,71050,Onaway Area Community School District,5.00,71,Presque Isle,Public,0.00,0.00,57.00,57.00,49.00,47.00,210.00
02856,Oscoda Area High School,35010,Oscoda Area Schools,5.00,35,Iosco,Public,0.00,0.00,109.00,125.00,112.00,141.00,487.00
03252,Rogers City High School,71080,Rogers City Area Schools,5.00,71,Presque Isle,Public,49.00,32.00,60.00,60.00,65.00,60.00,326.00
03767,Atlanta Community Schools,60010,Atlanta Community Schools,5.00,60,Montmorency,Public,30.00,24.00,32.00,40.00,35.00,42.00,203.00
03789,Surline Middle School,65045,West Branch-Rose City Area Schools,5.00,65,Ogemaw,Public,147.00,132.00,0.00,0.00,0.00,0.00,279.00
04036,ST THOMAS THE APOSTLE SCHOOL,41010,,5.00,71,Presque Isle,nonpublic,31.00,31.00,0.00,0.00,0.00,0.00,62.00
04050,Standish-Sterling Central High School,06050,Standish-Sterling Community Schools,5.00,06,Arenac,Public,0.00,0.00,149.00,151.00,147.00,174.00,621.00
04133,Tawas Area High School,35030,Tawas Area Schools,5.00,35,Iosco,Public,0.00,0.00,132.00,137.00,156.00,161.00,586.00
04212,TRINITY LUTHERAN SCHOOL,28010,,5.00,71,Presque Isle,nonpublic,8.00,0.00,0.00,0.00,0.00,0.00,8.00
04262,UNIVERSITY OF DETROIT JESUIT,82010,,5.00,72,Roscommon,nonpublic,50.00,53.00,187.00,192.00,147.00,163.00,792.00
04438,Ogemaw Heights High School,65045,West Branch-Rose City Area Schools,5.00,65,Ogemaw,Public,0.00,11.00,191.00,222.00,200.00,237.00,861.00
04516,Whittemore-Prescott Area H.S.,35040,Whittemore-Prescott Area Schools,5.00,35,Iosco,Public,0.00,0.00,93.00,81.00,84.00,84.00,342.00
04631,ZION LUTHERAN SCHOOL,58010,,5.00,72,Roscommon,nonpublic,6.00,7.00,0.00,0.00,0.00,0.00,13.00
04655,Posen Consolidated High School,71060,Posen Consolidated School District,5.00,71,Presque Isle,Public,23.00,18.00,19.00,18.00,26.00,18.00,122.00
04826,Beaverton Middle School,26010,Beaverton Rural Schools,5.00,26,Gladwin,Public,89.00,102.00,0.00,0.00,0.00,0.00,191.00
04842,ONAWAY SDA SCHOOL,71050,,5.00,71,Presque Isle,nonpublic,0.00,2.00,0.00,0.00,0.00,0.00,2.00
05098,FAIRHAVEN SDA SCHOOL,25240,,5.00,20,Crawford,nonpublic,1.00,0.00,0.00,0.00,0.00,0.00,1.00
05115,Roscommon High School,72010,Gerrish-Higgins School District,5.00,72,Roscommon,Public,0.00,0.00,203.00,133.00,95.00,125.00,556.00
05507,Thunder Bay Junior High School,04010,Alpena Public Schools,5.00,04,Alpena,Public,332.00,377.00,0.00,0.00,0.00,0.00,709.00
05545,WEST SIDE CHRISTIAN SCHOOL,41010,,5.00,04,Alpena,nonpublic,49.00,39.00,0.00,0.00,0.00,0.00,88.00
05580,OWOSSO SDA SCHOOL,78110,,5.00,16,Cheboygan,nonpublic,3.00,1.00,0.00,0.00,0.00,0.00,4.00
05776,Cheboygan Middle School,16015,Cheboygan Area Schools,5.00,16,Cheboygan,Public,165.00,189.00,0.00,0.00,0.00,0.00,354.00
05860,Wolverine Middle/High School,16100,Wolverine Community Schools,5.00,16,Cheboygan,Public,27.00,20.00,34.00,28.00,28.00,25.00,162.00
05867,Johannesburg Elementary/Middle School,69030,Johannesburg-Lewiston Area Schools,5.00,69,Otsego,Public,29.00,36.00,0.00,0.00,0.00,0.00,65.00
05868,Vanderbilt Area School,69040,Vanderbilt Area Schools,5.00,69,Otsego,Public,7.00,13.00,17.00,19.00,20.00,22.00,98.00
06225,TRAVERSE CITY SDA SCHOOL,28010,,5.00,65,Ogemaw,nonpublic,1.00,1.00,0.00,0.00,0.00,0.00,2.00
06355,Grayling Middle School,20015,Crawford AuSable Schools,5.00,20,Crawford,Public,150.00,144.00,0.00,0.00,0.00,0.00,294.00
06369,Roscommon Middle School,72010,Gerrish-Higgins School District,5.00,72,Roscommon,Public,127.00,132.00,0.00,0.00,0.00,0.00,259.00
06448,Tawas Area Junior High School,35030,Tawas Area Schools,5.00,35,Iosco,Public,120.00,109.00,0.00,0.00,0.00,0.00,229.00
06761,Inland Lakes Middle School,16050,Inland Lakes Schools,5.00,16,Cheboygan,Public,71.00,91.00,0.00,0.00,0.00,0.00,162.00
06930,Houghton Lake Middle School,72020,Houghton Lake Community Schools,5.00,72,Roscommon,Public,103.00,0.00,0.00,0.00,0.00,0.00,103.00
06950,Arenac Eastern Middle/High School,06010,Arenac Eastern School District,5.00,06,Arenac,Public,28.00,22.00,31.00,15.00,25.00,29.00,150.00
06963,HERITAGE CHRISTIAN SCHOOL,63030,,5.00,20,Crawford,nonpublic,1.00,2.00,0.00,1.00,1.00,1.00,6.00
07249,Gladwin High School,26040,Gladwin Community Schools,5.00,26,Gladwin,Public,0.00,0.00,179.00,177.00,150.00,130.00,636.00
07361,OxBow ACES Academy/Alternative and Adult Ed,04010,Alpena Public Schools,5.00,04,Alpena,Public,0.00,2.00,36.00,47.00,32.00,30.00,147.00
07472,Alternative Ed. Center,35040,Whittemore-Prescott Area Schools,5.00,35,Iosco,Public,0.00,0.00,3.00,13.00,20.00,19.00,55.00
07618,Whittemore-Prescott Area Middle School,35040,Whittemore-Prescott Area Schools,5.00,35,Iosco,Public,90.00,97.00,0.00,0.00,0.00,0.00,187.00
07898,Gladwin Community Alternative H.S.,26040,Gladwin Community Schools,5.00,26,Gladwin,Public,0.00,0.00,31.00,12.00,11.00,4.00,58.00
07932,Cheboygan Adult Learning Center,16015,Cheboygan Area Schools,5.00,16,Cheboygan,Public,0.00,1.00,11.00,11.00,10.00,25.00,58.00
08258,Houghton Lake Adult Education,72020,Houghton Lake Community Schools,5.00,72,Roscommon,Public,0.00,0.00,34.00,26.00,25.00,29.00,114.00
08341,Creative Learning Academy of Science,26901,Creative Learning Academy of Science,5.00,26,Gladwin,Public,4.00,4.00,0.00,0.00,0.00,0.00,8.00
08343,Sunrise Education Center,35901,Sunrise Education Center,5.00,35,Iosco,Public,8.00,1.00,0.00,0.00,0.00,0.00,9.00
08420,Richardson Middle School,35010,Oscoda Area Schools,5.00,35,Iosco,Public,97.00,116.00,0.00,0.00,0.00,0.00,213.00
08481,Gaylord Alternative Program,69020,Gaylord Community Schools,5.00,69,Otsego,Public,1.00,0.00,6.00,8.00,3.00,18.00,36.00
08531,MUSLIM AMERICAN YOUTH ACAD,82030,,5.00,69,Otsego,nonpublic,20.00,8.00,0.00,0.00,0.00,0.00,28.00
08537,Second Chance Academy,72020,Houghton Lake Community Schools,5.00,72,Roscommon,Public,4.00,3.00,4.00,10.00,0.00,0.00,21.00
08646,Onaway Middle School,71050,Onaway Area Community School District,5.00,71,Presque Isle,Public,62.00,51.00,0.00,0.00,0.00,0.00,113.00
08672,Hale Area Middle School,35020,Hale Area Schools,5.00,35,Iosco,Public,53.00,47.00,0.00,0.00,0.00,0.00,100.00
08679,ANN ARBOR ACADEMY,81010,,5.00,26,Gladwin,nonpublic,2.00,5.00,8.00,7.00,6.00,9.00,37.00
08833,Alcona Middle School,01010,Alcona Community Schools,5.00,01,Alcona,Public,87.00,81.00,0.00,0.00,0.00,0.00,168.00
08867,Presque Isle Academy II,71902,Presque Isle Academy II,5.00,71,Presque Isle,Public,0.00,1.00,8.00,10.00,14.00,28.00,61.00
08870,Iosco RESA Special Education,35000,Iosco RESA,5.00,35,Iosco,Public,4.00,1.00,4.00,1.00,1.00,5.00,16.00
08878,ROSA PARKS ACADEMY,82010,,5.00,35,Iosco,nonpublic,0.00,0.00,2.00,0.00,0.00,0.00,2.00
08886,Rose City Middle School,65045,West Branch-Rose City Area Schools,5.00,65,Ogemaw,Public,43.00,48.00,0.00,0.00,0.00,0.00,91.00
08901,Standish-Sterling Middle School,06050,Standish-Sterling Community Schools,5.00,06,Arenac,Public,143.00,136.00,0.00,0.00,0.00,0.00,279.00
09026,Russell House,16000,Cheb-Otsego-Presque Isle ESD,5.00,71,Presque Isle,Public,0.00,1.00,4.00,4.00,3.00,0.00,12.00
09597,OHHS Credit Recovery Program,65045,West Branch-Rose City Area Schools,5.00,65,Ogemaw,Public,0.00,0.00,0.00,1.00,0.00,1.00,2.00
09689,Inland Lakes Alternative Education,16050,Inland Lakes Schools,5.00,16,Cheboygan,Public,0.00,1.00,0.00,0.00,0.00,4.00,5.00
